Review,y_rasa,c_rasa,y_pelayanan,c_pelayanan,y_tempat,c_tempat,y_harga,c_harga
memang cukup luas dan sepi tempatnya. untuk rasa makanannya menurutku biasa aja sih,0,1,0,0,0,1,0,0
"Tempatnya gak nyaman, banyak nyamuk. Rasa makananya juga biasa aja.",0,1,0,0,-1,1,0,0
"Gak bakal balik lagi ke sini, pelayanannya buruk dan makanannya dingin.",-1,1,-1,1,0,0,0,0
Harganya terlalu mahal untuk rasa yang mengecewakan seperti ini.,-1,1,0,0,0,0,-1,1
"Kasir jutek. Makanan lama dateng, porsi kecil tapi overpriced mana rasanya biasa aja ga enak-enak banget",0,1,-1,1,0,0,-1,1
"Makanan disini sangat enak , kamar mandi juga bersih aku akan kembali lagi kesini",1,1,0,0,1,1,0,0
"Tempatnya dikelilingi kaca, lumayan nyaman dan cozy. Pelayanan cepat! Nice experience",0,0,1,1,0,1,0,0
"Mudah diakses, dekat dengan halte busway sawah besar. Lokasi di seberang mall gajah mada. Menu lengkap, ada mc cafe dan layanan drive thru juga",0,0,0,0,1,1,0,0
Biaya makan di restoran ini terlalu tinggi untuk porsi yang kecil. Padahal makanannya hambar,-1,1,0,0,0,0,-1,1
Makananya enak dan pelayananya juga cepat,1,1,1,1,0,0,0,0
"Lokasi oke, makanan oke, pelayanan oke",0,1,0,1,0,1,0,0
Pelayanan sangaat buruukkkk. Kalau tidak mampu mepekerjakan kasir lebih baik tutup saja.. Masa sekelas mcdonald kekurangan pekerja?????? Mana harganya naik terus makin mahal,0,0,-1,1,0,0,-1,1
suasanya nyaman sekali pun membawa anak anak tetap bisa makan dengan tenang.tempatnya nya bersih tapi pelayanannya kurang ramah,0,0,-1,1,1,1,0,0
"untuk tempatnya bersih, harga terjangkau, tapi makanannya biasa saja.",0,1,0,0,1,1,1,1
"Pelayanannya parah, pesen mcflury cadburry with choco yang di kasih kaya mcflurry biasa.
atau memang gambar ga sesuai realitanya? mesen karna liat postingan orang lain. Tapi untuk harga memang murah dan terjangkau",0,0,-1,1,0,0,1,1
"Pelayanan gak terlalu cepat dan cekatan, makanannya standar sih.",0,1,0,1,0,0,0,0
"Milonya kebanyakan air, gak ada rasa milonya sama sekali. Pas komplain katanya emg rasanya begitu. Lah gimana??",-1,1,-1,1,0,0,0,0
"Makanannya kurang berasa, harga terlalu mahal, tapi tempatnya nyaman.",-1,1,0,0,1,1,-1,1
"Pelayanan nya sangat baik cukup puas sekali, ayam khimci nya juga mantull untuk burger nya disini ok bangetsih juara pokoknya",1,1,1,1,0,0,0,0
"Rasanya aneh, kayak ada yang kurang. Harga juga terlalu mahal.",-1,1,0,0,0,0,-1,1
"Tempat kurang nyaman, makanannya juga kurang menendang lidah",0,1,0,0,0,1,0,0
"Karyawannya kurang ramah, tapi menunya dan harganya worth it si",0,0,-1,1,0,0,1,1
"Harga makanan sangat terjangkau, tapi tempatnya kotor dan tidak nyaman.",0,0,0,0,-1,1,1,1
Rasa makanannya cukup enak sih walau kurang asin. untuk pelayanannya juga semoga bisa lebih cepat dan responsif lagi.,0,1,0,1,0,0,0,0
"Pelayanannya oke oke aja gak terlalu cekatan. Rasa makanannya juga lumayan, gak terlalu memenuhi ekspektasi untuk harga yang lumayan menguras kantong",0,1,0,1,0,0,0,1
salah satu restoran yang berkualitas terhadap produknya.harga yang terjangkau cocok bagi semua kalangan masyarakat.,1,1,0,0,0,0,1,1
"Disini rame terus jadi kadang agak lama untuk anter makanan ke meja, tapi karena ada aplikasinya skrng dapat harga lebih murah dan praktis juga, recommended",0,0,0,1,0,0,1,1
