Review,y_rasa,c_rasa,y_pelayanan,c_pelayanan,y_tempat,c_tempat,y_harga,c_harga,clean_review
memang cukup luas dan sepi tempatnya. untuk rasa makanannya menurutku biasa aja sih,0,1,0,0,0,1,0,0,memang cukup luas dan sepi tempatnya untuk rasa makanannya menurutku biasa saja sih
"Tempatnya gak nyaman, banyak nyamuk. Rasa makanannya juga biasa aja. Harganya ga worth it dengan kualitasnya",0,1,0,0,-1,1,-1,1,tempatnya tidak nyaman banyak nyamuk rasa makanannya juga biasa saja harganya tidak worth it dengan kualitasnya
"Gak bakal balik lagi ke sini, pelayanannya buruk dan makanannya dingin. Dan harganya mahal pula",-1,1,-1,1,0,0,-1,1,tidak bakal balik lagi ke sini pelayanannya buruk dan makanannya dingin dan harganya mahal pula
Harganya terlalu mahal untuk rasa yang mengecewakan seperti ini.,-1,1,0,0,0,0,-1,1,harganya terlalu mahal untuk rasa yang mengecewakan seperti ini
"Kasir jutek. Makanan lama dateng, porsi kecil tapi overpriced mana rasanya biasa aja ga enak-enak banget",0,1,-1,1,0,0,-1,1,kasir jutek makanan lama datang porsi kecil tapi overpriced mana rasanya biasa saja tidak enak banget
"Makanan disini sangat enak , kamar mandi juga bersih, terlebih lagi harganya sangat terjangkau aku akan kembali lagi kesini",1,1,0,0,1,1,1,1,makanan disini sangat enak kamar mandi juga bersih terlebih lagi harganya sangat terjangkau aku akan kembali lagi kesini
"Tempatnya dikelilingi kaca, lumayan nyaman dan cozy. Pelayanan cepat! Harga murah! Nice experience",0,0,1,1,0,1,1,1,tempatnya dikelilingi kaca lumayan nyaman dan cozy pelayanan cepat harga murah baik experience
"Mudah diakses, dekat dengan halte busway sawah besar. Lokasi di seberang mall gajah mada. Menu lengkap, ada mc cafe dan layanan drive thru juga. Untuk harga emang agak mahal",0,0,0,0,1,1,-1,1,mudah diakses dekat dengan halte busway sawah besar lokasi di seberang mall gajah mada menu lengkap ada mc cafe dan layanan drive thru juga untuk harga memang agak mahal
Biaya makan di restoran ini terlalu tinggi untuk porsi yang kecil. Padahal makanannya hambar,-1,1,0,0,0,0,-1,1,biaya makan di restoran ini terlalu tinggi untuk porsi yang kecil padahal makanannya hambar
"Makanannya lumayan, tapi nggak terlalu berkesaN. Pelayananya cepat sekali",0,1,1,1,0,0,0,0,makanannya lumayan tapi tidak terlalu berkesan pelayanannya cepat sekali
